CLUSTER,Count,Lat,Lon,AvgKABCO
5,639,41.88770663142379,-87.63175017539123,3.1737089201877935
4,364,41.876769341330494,-87.7331227346489,3.2032967032967035
43,103,41.901285582833985,-87.7244457933204,3.174757281553398
3,88,41.880110849318186,-87.68350367689432,3.125
39,87,41.76184291678621,-87.66335831082414,3.218390804597701
11,87,41.76063453352069,-87.58965052189886,3.2298850574712645
53,75,41.88228024859733,-87.667049796892,3.2133333333333334
42,74,41.906599787613516,-87.6704589782419,3.189189189189189
80,68,41.75370541754559,-87.60842043681765,3.1176470588235294
9,67,41.807274651901494,-87.62095647622836,3.1940298507462686
